Time (s),Volume (m^3),Ar,He,Ne,N2,C7H16(1),C2H5(7),C5H11(6),C4H9(4),C3H7(5),C2H4(17),CH3(12),H(9),H2(49),C2H3(42),C#C(51),C3H6(85)
4.741591581739224e-11,41.5723843399672,0.98,0.0,0.0,0.0,0.019999414662544863,3.454224817709615e-07,3.4530008177664364e-07,2.399106288880478e-07,2.400215430420694e-07,1.469192789827656e-10,1.5830321756460198e-11,4.344481471781567e-12,4.992996308455023e-24,1.171567208350143e-20,3.187006031447804e-26,2.3360074708372593e-36
6.128317528333032e-11,41.5723914606081,0.98,0.0,0.0,0.0,0.01999924347798148,4.46453459467487e-07,4.4624900631321294e-07,3.1006130171089714e-07,3.102465668592309e-07,2.454131752212452e-10,2.64453442844597e-11,7.2573383686518316e-12,1.3499278150861222e-23,2.490024274933286e-20,8.475999094969351e-26,1.0319245658577729e-35
7.515043474926842e-11,41.5723985822326,0.98,0.0,0.0,0.0,0.01999907229488336,5.474883796362489e-07,5.471809451736114e-07,3.802058235272081e-07,3.804844015083787e-07,3.690313785268401e-10,3.976995962341579e-11,1.091347820100099e-11,2.9895988861873154e-23,4.548058080121473e-20,1.855061041194208e-25,3.3028851443899215e-35
8.901769421520651e-11,41.57240570484051,0.98,0.0,0.0,0.0,0.019998901113250474,6.485272417451748e-07,6.480959012051114e-07,4.5034419485182357e-07,4.5073504363802745e-07,5.17771087613958e-10,5.5804685115962916e-11,1.53129313298471e-11,5.817655563702975e-23,7.523211103015551e-20,3.581307422491579e-25,8.761776407467205e-35
9.999999999999999e-11,41.57241282843178,0.98,0.0,0.0,0.0,0.019998765545395553,7.285487100211759e-07,7.280043953097068e-07,5.058865698462404e-07,5.063797822265811e-07,6.533907789453428e-10,7.042690994803166e-11,1.9324578923258843e-11,9.223264485739189e-23,1.0645339293912778e-19,5.653864936628267e-25,1.7351649752497913e-34
1.0288495368114461e-10,41.57241282843178,0.98,0.0,0.0,0.0,0.019998729933082812,7.495700452716446e-07,7.48993877204155e-07,5.204764161904397e-07,5.209984899565709e-07,6.916295511178327e-10,7.455002882199774e-11,2.0455727576411683e-11,1.032268425249033e-22,1.1589868233923634e-19,6.322240733481212e-25,2.0444102732700676e-34
1.3061947261302078e-10,41.57242707856387,0.98,0.0,0.0,0.0,0.019998387577143117,9.516674745711288e-07,9.507388998374004e-07,6.607224108508158e-07,6.615637825277871e-07,1.1146921811957557e-09,1.201745204104085e-10,3.297146388197476e-11,2.6902878968745974e-22,2.366704286423217e-19,1.6384816940762082e-24,8.907605140606173e-34
1.5491261410646415e-10,41.57243956372977,0.98,0.0,0.0,0.0,0.019998087706510365,1.1287010318823717e-06,1.1273950548214535e-06,7.835460804221631e-07,7.847293844126238e-07,1.5677821339050015e-09,1.6905040477432527e-10,4.6377334695113e-11,5.325518567742981e-22,3.9451318911006907e-19,3.2355152372862438e-24,2.460174211162793e-33
1.7920575559990752e-10,41.57245205191185,0.98,0.0,0.0,0.0,0.019997787840374096,1.3057466777134091e-06,1.3039991389138081e-06,9.063508833066864e-07,9.07934234846785e-07,2.097920727699501e-09,2.2625214925377952e-10,6.206489033288232e-11,9.535479122888178e-22,6.1050844217065145e-19,5.784822317886675e-24,5.839609573734484e-33
2.034988970933509e-10,41.57246454310951,0.98,0.0,0.0,0.0,0.019997487978734237,1.4828044093347902e-06,1.4805511667124427e-06,1.029136822145527e-06,1.0311783166489792e-06,2.7050935972204214e-09,2.917824045454473e-10,8.003428649579396e-11,1.5845430880294977e-21,8.937623572492203e-19,9.603521748526879e-24,1.2389887964997966e-32
2.5208518008023765e-10,41.57248953454915,0.98,0.0,0.0,0.0,0.0199968882689435,1.8369561190308251e-06,1.8334991118071118e-06,1.2746521182508257e-06,1.2777841056509725e-06,4.150484709979869e-09,4.478390450947106e-10,1.2281922311305265e-10,3.7389409832678094e-21,1.6984683378942295e-18,2.2631354616504477e-23,4.517833880902317e-32
3.4925774605401114e-10,41.57253955358911,0.98,0.0,0.0,0.0,0.019995688903316038,2.5454044478151226e-06,2.538770968497901e-06,1.7654564581225145e-06,1.7714657044893614e-06,7.965046344808834e-09,8.600109778487692e-10,2.3577803156571864e-10,1.39332691039818e-20,4.515596284217743e-18,8.418843468925204e-23,3.3711456922384404e-31
4.4643031202778464e-10,41.57258962081164,0.98,0.0,0.0,0.0,0.019994489609623665,3.254045843604068e-06,3.243211558191285e-06,2.255959269025829e-06,2.2657730826250815e-06,1.301054834249492e-08,1.4057355226864157e-09,3.852637174487985e-10,3.7224019383422875e-20,9.428396515435827e-18,2.246229144185167e-22,1.4264525707327164e-30
5.436028780015582e-10,41.572639736178786,0.98,0.0,0.0,0.0,0.019993290387862066,3.962880131853316e-06,3.946821813246436e-06,2.7461607198705004e-06,2.7607051429665373e-06,1.9286072743567497e-08,2.085181726487713e-09,5.712862301758028e-10,8.162819328458444e-20,1.701900658110662e-17,4.919941146475208e-22,4.4800633582814405e-30
